Frequency_Hz,Amplitude_d1,Phase_rad_d1
60000.0,3.428655370733024e-05,-0.36539595313693146
60005.86683961901,3.361057716272393e-05,-0.38707520873734774
60011.73425290145,3.418629364916071e-05,-0.36376624317729206
60017.60223990343,3.370008608730858e-05,-0.37045593798291876
60023.470800681054,3.4306279021801635e-05,-0.39375036306005
60029.33993529042,3.4447274943386496e-05,-0.3735338626074497
60035.20964378765,3.343051538194374e-05,-0.3612707562759754
60041.07992622873,3.388635419053377e-05,-0.3793905955610979
60046.95078267003,3.362075630116504e-05,-0.38291349057911184
60052.82221316754,3.334204566784408e-05,-0.3644437318465133
60058.69421777741,3.3669077609357985e-05,-0.35267633571912915
60064.566796555766,3.376197462581363e-05,-0.3958742428285754
60070.43994955875,3.345233822232283e-05,-0.37450738558502483
60076.31367684252,3.351914567680217e-05,-0.36763546220392435
60082.18797846321,3.411131249852013e-05,-0.39643027396303165
60088.062854477,3.416759072430992e-05,-0.39002765009625373
60093.93830494004,3.401776070574944e-05,-0.35780225475597327
60099.81432990851,3.4019652217128105e-05,-0.3659608859640125
60105.690929438584,3.4610100177978606e-05,-0.360366934622929
60111.56810358631,3.284689980681885e-05,-0.3676234934944198
60117.445852408135,3.4110946462623766e-05,-0.38798131174883765
60123.324175960115,3.381351128597199e-05,-0.3834135854468963
60129.20307429846,3.443543481714949e-05,-0.3729731792578012
60135.08254747936,3.344911197138854e-05,-0.3819772874129939
60140.96259555903,3.374879116552466e-05,-0.3807882673579032
60146.84321859369,3.4162830099763784e-05,-0.38406056957265056
60152.724416639554,3.428851180487535e-05,-0.3812376205999375
60158.60618975284,3.363064920549375e-05,-0.38233899964179513
60164.48853798979,3.418774981571253e-05,-0.36282122175917514
60170.37146140663,3.437864697419463e-05,-0.35648300442055525
60176.25496005961,3.3733445021228524e-05,-0.3639766355718839
60182.13903400497,3.3643601883489794e-05,-0.3822250858585279
60188.023683298845,3.4182327318055024e-05,-0.35935117088874113
60193.908907997735,3.3834815677111685e-05,-0.35410628903440683
60199.79470815779,3.425833652559845e-05,-0.3613722995607337
60205.68108383526,3.4041213825304266e-05,-0.3953441968830479
60211.568035086435,3.4147422216258114e-05,-0.3661268188572062
60217.45556196759,3.4252943807441905e-05,-0.3784768957293297
60223.34366453501,3.4333283816532963e-05,-0.32704470254100476
60229.23234284499,3.4007639561102356e-05,-0.35284830238430126
60235.121596953824,3.35609075746575e-05,-0.3941006956367017
60241.01142691781,3.397311419709905e-05,-0.35938614713599537
60246.901832793264,3.4685795600331e-05,-0.3474267792764536
60252.79281463649,3.3536253087847004e-05,-0.39562494811568816
60258.68437250369,3.4014706770875356e-05,-0.3827980255669942
60264.57650645143,3.35973700731415e-05,-0.3819949686652983
60270.469216535916,3.365240436206195e-05,-0.37550627509175577
60276.362502813485,3.351576531201621e-05,-0.3683007101184815
60282.25636534048,3.361853678448752e-05,-0.3775876696809811
60288.150804173245,3.331611045690917e-05,-0.3847709858788467
60294.04581936813,3.3580360291941505e-05,-0.3865663685864593
60299.9414109815,3.309570863998393e-05,-0.39701707820676263
60305.8375790697,3.393826117371825e-05,-0.38408700847386407
60311.73432368912,3.359332239714994e-05,-0.37297882963911855
60317.631644896115,3.385835865585873e-05,-0.36201313386546885
60323.52954274707,3.4552003529362e-05,-0.3588080939546848
60329.42801729838,3.389950424096923e-05,-0.38201484338079617
60335.3270686063,3.425551249121074e-05,-0.34584719775292816
60341.22669672747,3.4352553890330675e-05,-0.37640720349237444
60347.12690171818,3.449860858649335e-05,-0.3548345060705929
60353.02768363482,3.3360667248761336e-05,-0.40539791236046413
60358.92904253382,3.399081110923131e-05,-0.3572559085813503
60364.83097847159,3.462593586315322e-05,-0.361072415624784
60370.73349150455,3.431219888118719e-05,-0.37875335664303283
60376.636581689134,3.33988079439799e-05,-0.3473374024545511
60382.54024908178,3.447926574268061e-05,-0.376487365648598
60388.44449373891,3.3830271502126384e-05,-0.37755499233008094
60394.34931571699,3.458582787202908e-05,-0.3775790449519981
60400.25471507246,3.385803697142935e-05,-0.3928192752790399
60406.16069186165,3.35414750002147e-05,-0.383878298287703
60412.06724614128,3.410878575849348e-05,-0.3936327525712744
60417.97437796769,3.367633625954972e-05,-0.3824185238723497
60423.882087397345,3.336819203127778e-05,-0.390706395143415
60429.79037448673,3.456305152986243e-05,-0.3390810075241462
60435.69923929233,3.4350486977755445e-05,-0.3696094471018468
60441.608681870624,3.356427767671791e-05,-0.3881624859899664
60447.518702278125,3.3891401547486876e-05,-0.3514811882577263
60453.42930057132,3.3805574006730384e-05,-0.36288314530025034
60459.34047680672,3.444863906735331e-05,-0.35103035472800886
60465.25223104084,3.453509890443203e-05,-0.38061153872030035
60471.16456333018,3.489957689182343e-05,-0.37545759268588624
60477.07747373129,3.428102965310999e-05,-0.3600155928642924
60482.99096230055,3.328599206474223e-05,-0.35081221518995664
60488.905029094756,3.4590096415382696e-05,-0.38302802154415033
60494.819674170314,3.390222479212235e-05,-0.3867254969212798
60500.734897583774,3.338757460750753e-05,-0.378957135017209
60506.650699391685,3.412715368433001e-05,-0.3644380217148533
60512.56707965061,3.485484153095275e-05,-0.3679209026832935
60518.4840384171,3.391137583684974e-05,-0.36656175795524637
