Frequency_Hz,Amplitude_d1,Phase_rad_d1
60000.0,2.6310844409936742e-05,-0.34496941220097715
60005.86683961901,2.5240777510516537e-05,-0.30309162794415423
60011.73425290145,2.653148907829613e-05,-0.31055929923014813
60017.60223990343,2.5698772897646194e-05,-0.34678560808673575
60023.470800681054,2.7327730196713212e-05,-0.3265681324732965
60029.33993529042,2.674769179432983e-05,-0.28860164144978573
60035.20964378765,2.6020159447332743e-05,-0.3361508213742345
60041.07992622873,2.710127748719371e-05,-0.3147594939613677
60046.95078267003,2.6151886911348665e-05,-0.37431643050406527
60052.82221316754,2.5243933721798646e-05,-0.29522589984039793
60058.69421777741,2.5937247235834472e-05,-0.3440112081015144
60064.566796555766,2.5098044856307344e-05,-0.3203928933165389
60070.43994955875,2.592512158550214e-05,-0.3150461000451177
60076.31367684252,2.57726747183129e-05,-0.2875353880619604
60082.18797846321,2.609160599926018e-05,-0.2834856206558383
60088.062854477,2.4683750553471283e-05,-0.3049128824513789
60093.93830494004,2.5817043978596335e-05,-0.31920072894274387
60099.81432990851,2.603291639664729e-05,-0.3063567869839793
60105.690929438584,2.70463698661764e-05,-0.299477850985556
60111.56810358631,2.5956230533242412e-05,-0.3170879271876105
60117.445852408135,2.5963162549015316e-05,-0.33574585339601215
60123.324175960115,2.6570728363152104e-05,-0.3140429817290854
60129.20307429846,2.630736508212523e-05,-0.3260494653067688
60135.08254747936,2.6654002794018075e-05,-0.35462033668983745
60140.96259555903,2.5934895754162345e-05,-0.3221643629454204
60146.84321859369,2.5750969602348314e-05,-0.3091061602404111
60152.724416639554,2.569372073047269e-05,-0.34005174480792644
60158.60618975284,2.7061744224493566e-05,-0.3556985539848289
60164.48853798979,2.5944365876914e-05,-0.31243029344893436
60170.37146140663,2.6369547968344055e-05,-0.33138072947259567
60176.25496005961,2.6710165922659767e-05,-0.3420276711246434
60182.13903400497,2.6257694833801267e-05,-0.320601451109783
60188.023683298845,2.536850007072299e-05,-0.3013238255648729
60193.908907997735,2.5868064471825858e-05,-0.3080256764265338
60199.79470815779,2.5508871312008418e-05,-0.2757243218783923
60205.68108383526,2.5783291436857042e-05,-0.3436007806308124
60211.568035086435,2.570501050733163e-05,-0.3046265320025058
60217.45556196759,2.504742613201307e-05,-0.3536579674437511
60223.34366453501,2.6343057189959764e-05,-0.29263731854579517
60229.23234284499,2.633275418050785e-05,-0.3126443311753542
60235.121596953824,2.5801566688854045e-05,-0.33290493405769744
60241.01142691781,2.6042507614905478e-05,-0.32584789966383426
60246.901832793264,2.49815364853185e-05,-0.33347162031906774
60252.79281463649,2.597867887366782e-05,-0.3254378712787626
60258.68437250369,2.659074006609456e-05,-0.3285612141824013
60264.57650645143,2.5058466589375375e-05,-0.3015019021593798
60270.469216535916,2.6385264350359035e-05,-0.3501741430013341
60276.362502813485,2.5196366289585273e-05,-0.31088995758067506
60282.25636534048,2.5330933732053817e-05,-0.3354911135616597
60288.150804173245,2.5952945446523555e-05,-0.32154111335920993
60294.04581936813,2.5694436861632842e-05,-0.3252267730400451
60299.9414109815,2.7033327354652144e-05,-0.32251300711543796
60305.8375790697,2.6319116433312522e-05,-0.3252119688002806
60311.73432368912,2.590952702362065e-05,-0.3181857224830805
60317.631644896115,2.6326824370698703e-05,-0.35221434140046515
60323.52954274707,2.6021708013566693e-05,-0.33260746731565133
60329.42801729838,2.5629114418508462e-05,-0.33834195578647147
60335.3270686063,2.6059837184926285e-05,-0.31865470877818824
60341.22669672747,2.5988449032449227e-05,-0.34538108993599975
60347.12690171818,2.6394097358082007e-05,-0.33029771788104784
60353.02768363482,2.5812532754325948e-05,-0.33837108782527714
60358.92904253382,2.630614662722253e-05,-0.30832159548174404
60364.83097847159,2.643971080895085e-05,-0.3355790515617315
60370.73349150455,2.601472278598966e-05,-0.3394440350614818
60376.636581689134,2.6217808180712826e-05,-0.3249020474338436
60382.54024908178,2.685580294151693e-05,-0.3294526421654374
60388.44449373891,2.5901351054250602e-05,-0.3407537055614081
60394.34931571699,2.665531345167362e-05,-0.360532452410379
60400.25471507246,2.654785927330937e-05,-0.32989029149003346
60406.16069186165,2.5773087844378726e-05,-0.3406850134316437
60412.06724614128,2.5142414678710936e-05,-0.3702700546126907
60417.97437796769,2.5953060974991983e-05,-0.3054620831512599
60423.882087397345,2.6202565931933797e-05,-0.33582551899043417
60429.79037448673,2.480204250734959e-05,-0.349253788197329
60435.69923929233,2.626996804507369e-05,-0.3331965519448831
60441.608681870624,2.5685962098206664e-05,-0.3265676838732497
60447.518702278125,2.5765379669192795e-05,-0.30371131376419747
60453.42930057132,2.5729518848331687e-05,-0.3027631026191048
60459.34047680672,2.5764135510346606e-05,-0.3332847763360763
60465.25223104084,2.5904239270945818e-05,-0.30438630142186274
60471.16456333018,2.681961858124069e-05,-0.295930125205544
60477.07747373129,2.5314067730630514e-05,-0.3201059480435082
60482.99096230055,2.5540136115145606e-05,-0.3306368474240582
60488.905029094756,2.6282598424871634e-05,-0.36144458595446805
60494.819674170314,2.6213801716076557e-05,-0.32834987307088215
60500.734897583774,2.6144777823630546e-05,-0.3212683412184918
60506.650699391685,2.563952686208538e-05,-0.27839966220681683
60512.56707965061,2.6936399430941418e-05,-0.3119340878860024
60518.4840384171,2.6040392732231682e-05,-0.32533302622022153
60524.40157574772,2.574275980129769e-05,-0.36079501839284855
60530.31969169905,2.594683036762624e-05,-0.36841060583417856
60536.23838632766,2.558677148682177e-05,-0.30846964205910365
60542.15765969015,2.6046159574709106e-05,-0.29393165920765435
60548.0775118431,2.6682166781501996e-05,-0.3284237399490574
60553.997942842965,2.592064036612386e-05,-0.33587932259299424
60559.918952746615,2.704198152017395e-05,-0.33771163394158055
60565.84054161052,2.5867055721415757e-05,-0.31620099430153614
60571.7627094913,2.542117199340114e-05,-0.3098060994255192
60577.68545644556,2.5567936063745194e-05,-0.32587419208379853
60583.608782529926,2.6020733595288287e-05,-0.31785280679009276
60589.53268780103,2.575708483059903e-05,-0.30361065335442355
60595.45717231551,2.4985017150185154e-05,-0.30847668134177464
60601.38223612999,2.6622334663326006e-05,-0.32560747745025087
60607.30787930112,2.6016908343825988e-05,-0.3149871209657198
60613.23410188556,2.6072250097127297e-05,-0.33815634584970944
60619.160903939955,2.69742377754491e-05,-0.30163481975788853
60625.08828552097,2.631102514113284e-05,-0.36859164417489676
60631.01624668514,2.5647165798034597e-05,-0.3757929959311321
60636.944787489396,2.646164031758574e-05,-0.31272680834424543
60642.87390799029,2.59446418761207e-05,-0.32165221820044426
60648.80360824449,2.693366958533514e-05,-0.33055044284553
60654.73388830871,2.5004229102985515e-05,-0.3299425206274196
60660.66474823962,2.6173091459289037e-05,-0.2756270816253055
60666.596188093936,2.6643750002769507e-05,-0.31642185088326485
60672.52820792835,2.547337895686281e-05,-0.29061490616154495
60678.46080779959,2.5630812148174975e-05,-0.3275024220120317
60684.39398776436,2.61642650351548e-05,-0.30088015202673757
60690.32774787938,2.6944263512800134e-05,-0.33815041978184995
60696.26208820139,2.6577523435266678e-05,-0.3496846908659745
60702.197008786985,2.669103214758621e-05,-0.3386470879026121
60708.132509693154,2.665930790359943e-05,-0.3294520862053831
60714.06859097653,2.633956680856255e-05,-0.33100512635302715
60720.00525269385,2.5991561826631664e-05,-0.32836573327520613
60725.94249490187,2.6124460905180154e-05,-0.337679593896516
60731.88031765736,2.575654507081506e-05,-0.3267911697348708
60737.81872101707,2.6481689832958706e-05,-0.316708072497501
60743.757705037795,2.4870218339185477e-05,-0.32752056697255455
60749.69726977629,2.615854210537211e-05,-0.3691997696489945
60755.63741528935,2.6650845081699227e-05,-0.2950781699144044
60761.578141633756,2.6879138574145585e-05,-0.31136512812311384
60767.51944886631,2.6101454509684066e-05,-0.3173693687427003
60773.461337043685,2.5969851497490656e-05,-0.35348699689320173
60779.40380622294,2.625126649910837e-05,-0.3140684264226755
60785.34685646075,2.5277054110531663e-05,-0.3523041189862134
60791.29048781393,2.6545491096107452e-05,-0.31517334966500077
60797.234700339315,2.6230744710165948e-05,-0.31668820400354997
60803.179494093725,2.632541938597968e-05,-0.35979398916461125
60809.12486913399,2.565191164702339e-05,-0.3350233233100528
60815.07082551696,2.648352190295904e-05,-0.3163663500725067
60821.01736329946,2.568413024302084e-05,-0.30639418850951206
60826.964482538366,2.5917541360881697e-05,-0.3347168686819574
60832.91218329051,2.679325589170204e-05,-0.3237732632578071
60838.86046561276,2.5220480641173992e-05,-0.3393111342871465
60844.809329561984,2.4955132335621208e-05,-0.3634633248293817
60850.758775194925,2.5438812285370313e-05,-0.32744785440241436
60856.70880256872,2.715911972211002e-05,-0.30219224841826
60862.65941174012,2.6506084737796766e-05,-0.32633743578096897
60868.610602766006,2.6612680560209924e-05,-0.31287563887922726
60874.56237570329,2.614609210738978e-05,-0.3103936099967122
60880.514730608855,2.6015734529471387e-05,-0.33012487245535216
60886.46766753961,2.6088584621935638e-05,-0.3344039594050673
60892.42118655248,2.5926181008877858e-05,-0.313038664244989
60898.375287704366,2.64598879979281e-05,-0.34512005076795776
60904.32997105219,2.7179399182272966e-05,-0.354290034645219
60910.28523665289,2.5673289242032472e-05,-0.3123382908373349
60916.241084563386,2.5884974510347843e-05,-0.3358830834724023
60922.1975148405,2.6648670559843285e-05,-0.35443971633012883
60928.15452754143,2.6262209579621985e-05,-0.3083011594387701
60934.11212272299,2.5893315726087104e-05,-0.32608410509502467
60940.070300442145,2.5904933117267012e-05,-0.317849152963945
60946.02906075585,2.6099287397392453e-05,-0.2952604150216263
60951.98840372107,2.573294410246745e-05,-0.32069401788780166
60957.948329394785,2.6177746816737483e-05,-0.34190267121092777
60963.908837833966,2.6588950158977824e-05,-0.34400123507995084
60969.86992909559,2.5788440535201625e-05,-0.3421957667411186
60975.831603236664,2.6827570917146257e-05,-0.3385701045060749
60981.793860314174,2.5875935078188608e-05,-0.3362766695126492
60987.75670038511,2.636059424378257e-05,-0.2973673889613003
60993.72012350649,2.6424160833818756e-05,-0.31256446236109986
60999.68412973519,2.6667544317508415e-05,-0.33216873573405464
61005.64871912849,2.6869905751773307e-05,-0.3268610816921227
61011.613891743276,2.5608770502333976e-05,-0.3103634420365809
61017.57964763658,2.5623871997402113e-05,-0.3323820964806937
61023.545986865436,2.614211348343849e-05,-0.3468838043104366
61029.512909486875,2.6003523226675567e-05,-0.3076148581207736
61035.480415557955,2.608716121560333e-05,-0.3320061533402204
61041.44850513571,2.5557070758201764e-05,-0.32453105461576054
61047.41717827722,2.5919205631277648e-05,-0.2884221528511498
61053.386435039516,2.6736119317250036e-05,-0.3136503111323972
61059.35627547969,2.569398912833966e-05,-0.2960860343700733
61065.3266996548,2.644278652544512e-05,-0.32523097253748046
