,Frequency_Hz,Amplitude,Phase_rad
0,54000.0,8.075902835454101e-05,-0.36075164448501024
1,54009.03846906386,8.14178305263845e-05,-0.3522677468471679
2,54018.07845097819,8.075764909862388e-05,-0.3550432913359352
3,54027.11994599605,8.08554062696928e-05,-0.35275330941273253
4,54036.162954370935,8.118930358449067e-05,-0.3513559295702167
5,54045.20747635602,8.099219677078165e-05,-0.35647979310546724
6,54054.253512204676,8.033084895370532e-05,-0.35188862644669877
7,54063.30106217028,8.13811868988617e-05,-0.35454153164959484
8,54072.35012650625,8.098057787882551e-05,-0.3545703948201819
9,54081.400705465974,8.105295168903916e-05,-0.3539252762080712
10,54090.45279930317,8.123914992452169e-05,-0.35351680737258667
11,54099.50640827131,8.085250034268095e-05,-0.3560310245948801
12,54108.561532623964,8.078762840018814e-05,-0.3595687446811784
13,54117.61817261479,8.086099687865469e-05,-0.36000341573249295
14,54126.67632849748,8.081103547046905e-05,-0.3510573809714979
15,54135.73600052565,8.095951002741963e-05,-0.3564855628946358
16,54144.797188953286,8.104059515764293e-05,-0.35359563453446896
17,54153.85989403409,8.115631010110958e-05,-0.3520579390776574
18,54162.924116021924,8.09580751055858e-05,-0.35346647329517294
19,54171.98985517069,8.084325884368348e-05,-0.356785718524273
20,54181.05711173431,8.08120715940896e-05,-0.3523521987747828
21,54190.125885966685,8.100581166843029e-05,-0.3551740178082881
22,54199.19617812204,8.043841938579162e-05,-0.3575715784256796
23,54208.26798845434,8.132577183807232e-05,-0.35211888520012335
24,54217.3413172177,8.126836617422917e-05,-0.35926580922696144
25,54226.41616466627,8.105479713641547e-05,-0.3546903778438771
26,54235.492531054246,8.069189828307034e-05,-0.3556177349741591
27,54244.570416635754,8.089470473924648e-05,-0.3548857999392416
28,54253.6498216653,8.117194798102606e-05,-0.35574211296425323
29,54262.73074639709,8.063968714731692e-05,-0.35565370907205285
30,54271.8131910855,8.043968779786102e-05,-0.3533614441012837
31,54280.89715598493,8.081770479147065e-05,-0.35728477244927637
32,54289.982641349845,8.082353565239272e-05,-0.35471025462798655
33,54299.06964743461,8.045499401548478e-05,-0.3565676336456352
34,54308.158174494005,8.059987730578202e-05,-0.3551618199526957
35,54317.24822278248,8.032498647416987e-05,-0.34924712883139
36,54326.33979255466,8.091944722273595e-05,-0.35281288493973817
