,Frequency_Hz,Amplitude,Phase_rad
0,54000.0,8.657511067023364e-06,-0.33487931982427976
1,54009.03846906386,8.189444529426851e-06,-0.442220904930922
2,54018.07845097819,8.259877787519115e-06,-0.38614518320294366
3,54027.11994599605,8.30132008152047e-06,-0.36934343212303355
4,54036.162954370935,8.548790163408764e-06,-0.37741933474039463
5,54045.20747635602,8.237703761988694e-06,-0.33589858110641907
6,54054.253512204676,8.465707772574118e-06,-0.33553793875408816
7,54063.30106217028,8.534243385206516e-06,-0.3625586416528203
8,54072.35012650625,8.847944759384337e-06,-0.3679692669521899
9,54081.400705465974,8.200832627640176e-06,-0.3196102444984128
10,54090.45279930317,8.786259402999979e-06,-0.3406195530909497
11,54099.50640827131,8.246037167639092e-06,-0.3623979328239407
12,54108.561532623964,8.441114178394515e-06,-0.3264107982139555
13,54117.61817261479,8.46574491260741e-06,-0.3851237140365042
14,54126.67632849748,8.36007758694895e-06,-0.3348137805945667
15,54135.73600052565,8.580619009296785e-06,-0.3322526647117262
16,54144.797188953286,8.362882289017023e-06,-0.3380519458337665
17,54153.85989403409,8.33558519407764e-06,-0.33824321852230343
18,54162.924116021924,8.461102710884507e-06,-0.365936711415535
19,54171.98985517069,8.567514543363945e-06,-0.28253884128024703
20,54181.05711173431,8.610899061277709e-06,-0.3513410407819752
21,54190.125885966685,8.537234327644192e-06,-0.4268937041183855
22,54199.19617812204,8.34892189609279e-06,-0.39693445795334453
23,54208.26798845434,8.244003892442525e-06,-0.2902332436052616
24,54217.3413172177,8.460364663219675e-06,-0.36346063759041936
25,54226.41616466627,8.688315712642968e-06,-0.32201668883154194
26,54235.492531054246,8.343628491774133e-06,-0.331913530529235
27,54244.570416635754,8.79094570270539e-06,-0.3681855642884854
28,54253.6498216653,8.068872861045545e-06,-0.346066995700044
29,54262.73074639709,8.150276178557747e-06,-0.38178299423783835
30,54271.8131910855,8.55098363679021e-06,-0.33146063269077064
31,54280.89715598493,8.552496041622244e-06,-0.3455035357416295
32,54289.982641349845,8.483747562314164e-06,-0.31407771956025
33,54299.06964743461,8.624849942027546e-06,-0.4136742179167993
34,54308.158174494005,8.59774177057965e-06,-0.33802819067104545
35,54317.24822278248,8.335766821848045e-06,-0.3302365944297526
36,54326.33979255466,8.830645251233163e-06,-0.3191177209421756
37,54335.432884065216,7.866095123604449e-06,-0.44721429165801935
38,54344.52749756885,8.700433110906656e-06,-0.37136680176739667
39,54353.62363332021,8.326157000712789e-06,-0.3441379050786468
40,54362.72129157429,8.405391627152149e-06,-0.36454203147638015
41,54371.82047258584,8.437281297546013e-06,-0.3013534532791639
42,54380.92117660972,8.110425316877788e-06,-0.38467561656981303
43,54390.02340390085,8.414365619309428e-06,-0.3590621094953842
44,54399.1271547142,8.289199484028954e-06,-0.42091952760903706
45,54408.23242930467,8.494168625384078e-06,-0.38362642049803286
46,54417.33922792752,8.254104706954583e-06,-0.3515493261422962
47,54426.44755083773,8.02323091188621e-06,-0.333032442072254
48,54435.55739829044,8.451719067370852e-06,-0.31798886396550297
49,54444.668770540826,8.238904807041475e-06,-0.33874121791895623
50,54453.7816678441,8.535950509484403e-06,-0.3375025456688831
51,54462.89609045542,8.120092240911549e-06,-0.30840663720432715
52,54472.01203863031,8.278463305772219e-06,-0.3377573769869646
53,54481.12951262401,8.490387658319433e-06,-0.3553554136594022
54,54490.2485126919,8.150889784135023e-06,-0.3439359301717441
55,54499.369039089426,8.72648547138032e-06,-0.3070859867060265
56,54508.49109207206,8.603208328989502e-06,-0.31745525449774603
57,54517.61467189519,9.02054785729838e-06,-0.38802110045868743
58,54526.73977881463,8.346446734798396e-06,-0.2817686832470791
59,54535.86641308586,8.622449824130108e-06,-0.3189243175187081
60,54544.99457496452,8.960680976779776e-06,-0.3052022798078372
61,54554.12426470631,8.695629989535969e-06,-0.41234545823524404
62,54563.25548256695,8.581701593656764e-06,-0.4144116698194033
63,54572.38822880212,8.307390698320622e-06,-0.37537492405504674
64,54581.522503667846,8.815580102898116e-06,-0.34748517128314343
65,54590.658307419886,8.614968885135195e-06,-0.37706994331077454
66,54599.795640314136,8.124845677880517e-06,-0.3559778637959661
67,54608.93450260655,8.282393429218152e-06,-0.38792867377967977
68,54618.074894553116,8.452227256450515e-06,-0.4000874506506859
69,54627.216816409746,8.834103598064293e-06,-0.34587729111862675
70,54636.36026843275,8.66554178885938e-06,-0.32568343072925127
71,54645.50525087813,8.244416781150319e-06,-0.32796620676470156
72,54654.65176400205,8.555263062564515e-06,-0.4135114346957846
73,54663.7998080607,8.54802384155579e-06,-0.3405414923803771
74,54672.94938331033,8.654515613991042e-06,-0.3002622967206331
75,54682.100490007135,8.499411875417427e-06,-0.32614272944532324
76,54691.253128407654,8.857785198688084e-06,-0.4269976878041613
77,54700.40729876816,8.165686965017453e-06,-0.385064740173793
78,54709.563001345065,8.247326874802644e-06,-0.31862105276106195
79,54718.72023639482,8.403365998464238e-06,-0.3943723633754438
80,54727.879004173956,8.254606010086558e-06,-0.36078707665507775
81,54737.03930493888,8.581462796581576e-06,-0.3972649395480245
82,54746.201138946424,8.413152967119634e-06,-0.39228742209887324
83,54755.3645064531,8.229614973118197e-06,-0.3388693684487703
84,54764.529407715585,8.18451233607441e-06,-0.3116416603916608
85,54773.6958429906,8.259062949275499e-06,-0.3538347836947112
86,54782.8638125349,8.821222050927427e-06,-0.35146886595598287
87,54792.03331660519,8.417178764618425e-06,-0.3567213375621889
88,54801.20435545853,8.612577231008812e-06,-0.3192376371375156
89,54810.3769293517,7.791647319380292e-06,-0.3351727519616926
90,54819.55103854164,7.963405243514313e-06,-0.29418243853279674
91,54828.72668328533,8.707022337933063e-06,-0.3221266310511089
92,54837.90386383977,8.90475218174217e-06,-0.30385575800604
93,54847.08258046193,8.534714737024797e-06,-0.27410956828644073
94,54856.26283340913,8.122697198764998e-06,-0.3327441230854648
95,54865.444622938405,8.506121587164385e-06,-0.3659853350903839
