,Frequency_Hz,Amplitude,Phase_rad
0,60000.0,4.38862555911794e-05,-0.4336345769852431
1,60009.70582571333,4.4174794964370036e-05,-0.43299999579486825
2,60019.41322147763,4.307847790551839e-05,-0.4272698681969999
3,60029.12218754667,4.3730617960634476e-05,-0.4411499189433984
4,60038.8327241747,4.370102053662088e-05,-0.440246306387814
5,60048.54483161555,4.411636631192615e-05,-0.4355289348485438
6,60058.25851012356,4.397621198796496e-05,-0.43261305735649824
7,60067.97375995262,4.435228835139921e-05,-0.4332061034225474
8,60077.69058135716,4.4609843546006666e-05,-0.42803350326334877
9,60087.40897459116,4.361389092586244e-05,-0.4345444553428477
10,60097.12893990914,4.3230158387210314e-05,-0.42473689761272704
11,60106.850477565145,4.345707226725626e-05,-0.43857302846034
12,60116.573587813786,4.322195782017181e-05,-0.4248465573348682
13,60126.29827090918,4.417099094500091e-05,-0.42809194705748804
14,60136.02452710603,4.407546910450035e-05,-0.43874663602327896
15,60145.752356658544,4.370848451437632e-05,-0.43888754863115814
16,60155.48175982149,4.4536942466600505e-05,-0.43193072259446863
17,60165.21273684916,4.4019645668369085e-05,-0.4200485708741978
18,60174.945287996285,4.3783521589345226e-05,-0.4364058001402832
19,60184.67941351762,4.373671209200567e-05,-0.42555435651440815
20,60194.415113667594,4.355041985210861e-05,-0.4338050276697522
21,60204.15238870117,4.392212071238416e-05,-0.4310039568809681
22,60213.891238872864,4.429074709583534e-05,-0.4448679494509397
23,60223.63166443772,4.363077585879368e-05,-0.43122744804020496
24,60233.37366565034,4.371118622198321e-05,-0.42420682346841593
25,60243.117242765846,4.371037140990989e-05,-0.4248982468205852
26,60252.862396038916,4.442508567513652e-05,-0.4267568363988759
27,60262.60912572476,4.3414428891796144e-05,-0.42831996353350094
28,60272.35743207815,4.348536199067513e-05,-0.4307906386593115
29,60282.10731535436,4.428960353464281e-05,-0.4328356239292939
30,60291.85877580825,4.372994163166983e-05,-0.43676513026266783
31,60301.611813695185,4.3549440493569666e-05,-0.4339841493228437
32,60311.3664292701,4.2970335412478875e-05,-0.4197506346815821
33,60321.12262278845,4.4103757426637734e-05,-0.43146881545391585
34,60330.88039450524,4.3320207108287374e-05,-0.43208269898638374
35,60340.63974467589,4.389035303272728e-05,-0.43346089520444697
36,60350.40067355586,4.381045544631948e-05,-0.433721803562511
37,60360.16318140028,4.412843944569432e-05,-0.4342839066385651
38,60369.927268464824,4.409157219768332e-05,-0.4288360227023374
39,60379.6929350047,4.38188076428651e-05,-0.43908942728506156
40,60389.46018127565,4.3871021585802834e-05,-0.44879610644096707
41,60399.22900753298,4.443396247156195e-05,-0.43114656535963986
42,60408.999414032514,4.365225544397759e-05,-0.4288393902709817
43,60418.77140102964,4.4169413993007725e-05,-0.4268890709914407
44,60428.54496878027,4.446840096909348e-05,-0.44291165315583186
45,60438.32011753986,4.3490626570637685e-05,-0.42222782161873007
46,60448.096847564404,4.423709521855021e-05,-0.4422909290082317
47,60457.875159109455,4.4063072461940326e-05,-0.4429707648880745
48,60467.655052431095,4.3904740851776646e-05,-0.4378301199253018
49,60477.43652778494,4.359748780800906e-05,-0.4147866822682175
50,60487.21958542716,4.3915442010535583e-05,-0.43408837266974404
51,60497.00422561347,4.3820969249047515e-05,-0.43452533333755783
52,60506.7904486001,4.361630479367984e-05,-0.4197607956370327
53,60516.57825464285,4.3776779715799334e-05,-0.43455520674545156
54,60526.36764399794,4.4016526284405284e-05,-0.4149575794809549
55,60536.15861692159,4.286842931910634e-05,-0.43453120569972215
56,60545.95117366973,4.4096974858616865e-05,-0.4183661621164549
57,60555.74531449882,4.4361916527190335e-05,-0.4315873928393104
58,60565.541039664844,4.3983054601393647e-05,-0.43069259856099934
59,60575.338349424346,4.3688895879517305e-05,-0.41403524642761297
60,60585.13724403341,4.414350285035941e-05,-0.42349959315085817
61,60594.93772374865,4.413362428009869e-05,-0.41561601875114396
62,60604.73978882623,4.394775746228282e-05,-0.40889726374534235
63,60614.54343952286,4.4244722598443435e-05,-0.4209492577189554
64,60624.34867609478,4.355604852579944e-05,-0.4247233247983342
65,60634.15549879878,4.413908411050275e-05,-0.42353477434680764
66,60643.963907891186,4.4658540602800953e-05,-0.43637631512382885
67,60653.77390362887,4.4511079910920445e-05,-0.42084343367373894
68,60663.585486268246,4.4688675070889186e-05,-0.4189041167254388
69,60673.39865606627,4.494623500096326e-05,-0.4211059716093313
70,60683.21341327942,4.526555909231304e-05,-0.43535652874722097
71,60693.02975816462,4.474900299036843e-05,-0.435249746434038
72,60702.84769097883,4.4543027414098894e-05,-0.433539530281466
73,60712.66721197866,4.4763143538129284e-05,-0.4348175464703859
74,60722.48832142127,4.5274973783337576e-05,-0.43632041277293715
75,60732.31101956336,4.532749262663856e-05,-0.43186231836926864
76,60742.13530666218,4.513344594740891e-05,-0.4422621183467038
77,60751.96118297452,4.453105387056907e-05,-0.4221802019264783
78,60761.7886487577,4.494417430906004e-05,-0.427848463424187
79,60771.61770426858,4.435450042094831e-05,-0.42677448013586927
80,60781.44834976459,4.5251560041092275e-05,-0.4304484104417381
81,60791.28058550267,4.421379605282689e-05,-0.43725852528053466
82,60801.11441174032,4.445660104482927e-05,-0.4276108398060776
83,60810.94982873456,4.349408502373208e-05,-0.40843719808597156
84,60820.786836742984,4.487902523795832e-05,-0.44864842627145546
85,60830.6254360227,4.4933975883511104e-05,-0.4351866213936205
86,60840.46562683138,4.53468339922615e-05,-0.4375867575943279
87,60850.30740942621,4.491431485136393e-05,-0.424508726668057
88,60860.15078406483,4.4535300398168905e-05,-0.4369966413072696
89,60869.99575100487,4.462982322499002e-05,-0.45014348132113374
90,60879.84231050368,4.497973108192102e-05,-0.44139143460826386
91,60889.69046281912,4.597591422101731e-05,-0.4370943815512694
92,60899.5402082086,4.561406503182847e-05,-0.4452682424704599
93,60909.39154693008,4.414364385573852e-05,-0.4248005690618548
94,60919.24447924104,4.542740229189431e-05,-0.4350397447245597
95,60929.09900539952,4.523815379410688e-05,-0.4343205385583564
96,60938.9551256631,4.560576389192278e-05,-0.4361397582814611
97,60948.812840289895,4.6346396417430206e-05,-0.441829254017946
98,60958.67214953757,4.556006474336738e-05,-0.431396891067693
99,60968.53305366432,4.4136066354030864e-05,-0.42509674073014947
100,60978.3955529279,4.3976812099639537e-05,-0.42453283635672107
101,60988.25964758658,4.3565623150447056e-05,-0.4306226144766633
102,60998.12533789819,4.426786507271821e-05,-0.43132051099997476
103,61007.992624121114,4.413643783364525e-05,-0.41595949846216523
104,61017.86150651325,4.499008583504298e-05,-0.4261470701502048
105,61027.731985332925,4.5206936999866376e-05,-0.4299038078572495
106,61037.60406083851,4.558476634090952e-05,-0.4208321326200739
107,61047.47773328804,4.3801306057319844e-05,-0.4224105974475478
108,61057.35300294009,4.408562082211275e-05,-0.43204550297592237
109,61067.2298700528,4.325403344951781e-05,-0.42080931827354057
110,61077.108334884804,4.422856130628929e-05,-0.4142041293566576
111,61086.98839769432,4.495301655285009e-05,-0.4278982449576049
112,61096.87005874008,4.485582337264671e-05,-0.42302439002444925
113,61106.75331828038,4.5036825110666376e-05,-0.4345032040369734
114,61116.63817657406,4.5212385325303606e-05,-0.43852835328059997
115,61126.52463387947,4.4148428818024666e-05,-0.41209574560824885
116,61136.41269045553,4.403744252654509e-05,-0.41985164451392054
117,61146.3023465607,4.519978768167869e-05,-0.43594666516594877
118,61156.19360245396,4.4478487439031666e-05,-0.4296373630178634
119,61166.08645839387,4.4374539284256776e-05,-0.42774391982682497
120,61175.98091463949,4.43355832777755e-05,-0.42518471891187565
121,61185.87697144945,4.37048591831686e-05,-0.41560210368044237
122,61195.774629082785,4.355936249260175e-05,-0.40774764315823125
123,61205.673887798584,4.4140401482024405e-05,-0.41991320214931466
124,61215.574747855586,4.457148942505389e-05,-0.41954030796180386
125,61225.47720951308,4.6533502681798215e-05,-0.4408866446814598
126,61235.3812730299,4.6847727097965374e-05,-0.43649716825646
127,61245.28693866542,4.6687028846898234e-05,-0.44397390681167115
128,61255.19420667855,4.6203539281604186e-05,-0.44258313886835543
129,61265.10307732874,4.5779780831208824e-05,-0.43090161148201106
130,61275.01355087501,4.432925856905444e-05,-0.42283735550943663
131,61284.925627576886,4.541941457583665e-05,-0.4250316410612708
132,61294.83930769345,4.525384100922464e-05,-0.428618938104243
133,61304.75459148433,4.486539879048606e-05,-0.4183557857076042
134,61314.671479208686,4.529792362259441e-05,-0.4218897432093498
135,61324.58997112624,4.50012999289893e-05,-0.4288047073568218
136,61334.51006749622,4.49491470812515e-05,-0.43150339436736873
137,61344.43176857845,4.468031526864907e-05,-0.42016274532519304
138,61354.355074632236,4.517200704009231e-05,-0.4260439839031978
139,61364.27998591734,4.5576559255996567e-05,-0.4317650010911497
140,61374.20650269356,4.537880661194527e-05,-0.42648979927258246
141,61384.134625220344,4.409840874878373e-05,-0.4118874486917716
142,61394.064353757705,4.546276565572631e-05,-0.4267115817400837
143,61403.995688565185,4.5749442916884516e-05,-0.43326694652601444
144,61413.92862990287,4.5365038873406545e-05,-0.4240364559525184
145,61423.863178030384,4.529110371753041e-05,-0.41991331260921255
146,61433.799333207906,4.543964323919377e-05,-0.4252338774162937
147,61443.737095695134,4.55155379287549e-05,-0.44498766372021076
148,61453.67646575234,4.5163945589041205e-05,-0.4380196631093327
149,61463.617443639305,4.619969557945583e-05,-0.4271225188920846
150,61473.56002961638,4.651469175635887e-05,-0.4323646849904321
151,61483.50422394344,4.711541152122923e-05,-0.44347736530795756
152,61493.45002688091,4.583460308743454e-05,-0.4249677674420361
153,61503.39743868875,4.54632269376041e-05,-0.4326446478241934
154,61513.34645962747,4.6060247244918145e-05,-0.4344205505744813
155,61523.29708995712,4.558142657370536e-05,-0.4248280185459414
156,61533.24932993829,4.5205191376770156e-05,-0.4222816298702241
157,61543.203179831115,4.6416540201939825e-05,-0.4255904505675591
158,61553.158639896144,4.623109869601726e-05,-0.43457409079623643
159,61563.11571039397,4.6810672702736066e-05,-0.43086122425857165
160,61573.07439158485,4.68642273741271e-05,-0.4188571877575959
161,61583.03468372959,4.6249210743851505e-05,-0.42416785296225606
162,61592.99658708853,4.7198080881584854e-05,-0.4337293151727423
163,61602.96010192256,4.768381974954266e-05,-0.42001125920815785
164,61612.9252284921,4.77633694185661e-05,-0.42880770336072666
165,61622.89196705814,4.820540119542411e-05,-0.4359920031983522
166,61632.86031788117,4.825934587909933e-05,-0.44055894780573446
167,61642.83028122225,4.979310667701452e-05,-0.4469135332288677
168,61652.80185734198,5.053889542277097e-05,-0.449429519914529
169,61662.77504650151,5.0237494392581135e-05,-0.4576727415776629
170,61672.74984896151,5.150752557632064e-05,-0.4733642416155092
171,61682.7262649832,5.1877230461672144e-05,-0.4832069473391892
172,61692.70429482735,5.14128737397904e-05,-0.47968960524588383
173,61702.683938755275,5.1762354881782527e-05,-0.4797044004536893
174,61712.66519702782,5.296563881737905e-05,-0.4959080535569516
175,61722.648069906245,5.3209922325295536e-05,-0.5071706658896366
176,61732.632557651865,5.4575063422431036e-05,-0.5176276874991617
177,61742.61866052566,5.513669589391299e-05,-0.5284410948959432
178,61752.606378789154,5.550779446104015e-05,-0.5443217261586479
179,61762.5957127034,5.475004864459766e-05,-0.5269025590452969
180,61772.58666253,5.4913331465181895e-05,-0.5318589933523971
181,61782.5792285301,5.4448248623571076e-05,-0.5281904895955283
182,61792.5734109654,5.473465648476936e-05,-0.5430747455080185
183,61802.56921009712,5.5859960192469136e-05,-0.5537580513838182
